Benchmark,Successful,Time Taken,Program Length
src\main\resources\DetSMSBenchmarks\diff.sl,TRUE,1,254
src\main\resources\DetSMSBenchmarks\eqExampleEasy.sl,TRUE,13,5842
src\main\resources\DetSMSBenchmarks\eqExampleSimplified.sl,TRUE,8,8396
src\main\resources\DetSMSBenchmarks\eqSub.sl,TRUE,4,3642
src\main\resources\DetSMSBenchmarks\fullEqExample.sl,TRUE,19,9535
src\main\resources\DetSMSBenchmarks\large.sl,TRUE,0,218
src\main\resources\DetSMSBenchmarks\large_linear_func.sl,TRUE,0,286
src\main\resources\DetSMSBenchmarks\linearSymmetry2.sl,TRUE,2,3944
src\main\resources\DetSMSBenchmarks\linearSymmetry3.sl,TRUE,5,12808
src\main\resources\DetSMSBenchmarks\linearSymmetry4.sl,TRUE,12,29407
src\main\resources\DetSMSBenchmarks\linearSymmetry5.sl,TRUE,18,55574
src\main\resources\DetSMSBenchmarks\linearSymmetry6.sl,TRUE,30,92344
src\main\resources\DetSMSBenchmarks\linearSymmetry7.sl,TRUE,41,145863
src\main\resources\DetSMSBenchmarks\linearSymmetry8.sl,TRUE,56,215271
src\main\resources\DetSMSBenchmarks\linearSymmetry9.sl,TRUE,80,300354
src\main\resources\DetSMSBenchmarks\multiGroupSanityCheck.sl,TRUE,3,1677
src\main\resources\DetSMSBenchmarks\small.sl,TRUE,0,274
src\main\resources\DetSMSBenchmarks\smallOrLarge.sl,TRUE,1,1928
src\main\resources\DetSMSBenchmarks\small_linear_func.sl,TRUE,0,322
src\main\resources\DetSMSBenchmarks\symm3.sl,TRUE,1,567
src\main\resources\DetSMSBenchmarks\symm3redux.sl,TRUE,2,885
src\main\resources\DetSMSBenchmarks\UnrealPretransform.sl,TRUE,7,4221
src\main\resources\DetSMSBenchmarks\zLinearSymmetry10.sl,TRUE,134,409943
src\main\resources\DetSMSBenchmarks\zLinearSymmetry11.sl,TRUE,183,544081
src\main\resources\DetSMSBenchmarks\zLinearSymmetry12.sl,TRUE,201,701137
