Benchmark,Successful,Median Time Taken
src\main\resources\LinearFuncs\fg_mpg_example1.sl,TRUE,6
src\main\resources\LinearFuncs\fg_mpg_example2.sl,TRUE,1400
src\main\resources\LinearFuncs\fg_mpg_example3.sl,TRUE,98
src\main\resources\LinearFuncs\fg_mpg_example4.sl,FALSE,
src\main\resources\LinearFuncs\fg_mpg_example5.sl,TRUE,116
src\main\resources\LinearFuncs\fg_mpg_guard1.sl,TRUE,1
src\main\resources\LinearFuncs\fg_mpg_guard2.sl,TRUE,2
src\main\resources\LinearFuncs\fg_mpg_guard3.sl,TRUE,3
src\main\resources\LinearFuncs\fg_mpg_guard4.sl,TRUE,3
src\main\resources\LinearFuncs\fg_mpg_ite1.sl,TRUE,4
src\main\resources\LinearFuncs\fg_mpg_ite2.sl,TRUE,5
src\main\resources\LinearFuncs\fg_mpg_plane1.sl,TRUE,1
src\main\resources\LinearFuncs\fg_mpg_plane2.sl,TRUE,1
src\main\resources\LinearFuncs\fg_mpg_plane3.sl,TRUE,1
src\main\resources\benchmarks\fg_array_search_10.sl,TRUE,12
src\main\resources\benchmarks\fg_array_search_11.sl,TRUE,14
src\main\resources\benchmarks\fg_array_search_12.sl,TRUE,21
src\main\resources\benchmarks\fg_array_search_13.sl,TRUE,27
src\main\resources\benchmarks\fg_array_search_14.sl,TRUE,28
src\main\resources\benchmarks\fg_array_search_15.sl,TRUE,32
src\main\resources\benchmarks\fg_array_search_16.sl,TRUE,49
src\main\resources\benchmarks\fg_array_search_17.sl,TRUE,44
src\main\resources\benchmarks\fg_array_search_18.sl,TRUE,66
src\main\resources\benchmarks\fg_array_search_19.sl,TRUE,74
src\main\resources\benchmarks\fg_array_search_2.sl,TRUE,2
src\main\resources\benchmarks\fg_array_search_20.sl,TRUE,66
src\main\resources\benchmarks\fg_array_search_3.sl,TRUE,3
src\main\resources\benchmarks\fg_array_search_4.sl,TRUE,4
src\main\resources\benchmarks\fg_array_search_5.sl,TRUE,5
src\main\resources\benchmarks\fg_array_search_6.sl,TRUE,6
src\main\resources\benchmarks\fg_array_search_7.sl,TRUE,7
src\main\resources\benchmarks\fg_array_search_8.sl,TRUE,9
src\main\resources\benchmarks\fg_array_search_9.sl,TRUE,10
src\main\resources\benchmarks\fg_array_sum_10_15.sl,TRUE,668
src\main\resources\benchmarks\fg_array_sum_10_5.sl,TRUE,695
src\main\resources\benchmarks\fg_array_sum_2_15.sl,TRUE,1
src\main\resources\benchmarks\fg_array_sum_2_5.sl,TRUE,1
src\main\resources\benchmarks\fg_array_sum_3_15.sl,TRUE,2
src\main\resources\benchmarks\fg_array_sum_3_5.sl,TRUE,2
src\main\resources\benchmarks\fg_array_sum_4_15.sl,TRUE,4
src\main\resources\benchmarks\fg_array_sum_4_5.sl,TRUE,4
src\main\resources\benchmarks\fg_array_sum_5_15.sl,TRUE,9
src\main\resources\benchmarks\fg_array_sum_5_5.sl,TRUE,10
src\main\resources\benchmarks\fg_array_sum_6_15.sl,TRUE,28
src\main\resources\benchmarks\fg_array_sum_6_5.sl,TRUE,33
src\main\resources\benchmarks\fg_array_sum_7_15.sl,TRUE,122
src\main\resources\benchmarks\fg_array_sum_7_5.sl,TRUE,65
src\main\resources\benchmarks\fg_array_sum_8_15.sl,TRUE,174
src\main\resources\benchmarks\fg_array_sum_8_5.sl,TRUE,175
src\main\resources\benchmarks\fg_array_sum_9_15.sl,TRUE,714
src\main\resources\benchmarks\fg_array_sum_9_5.sl,TRUE,332
src\main\resources\benchmarks\fg_max10.sl,TRUE,30
src\main\resources\benchmarks\fg_max11.sl,TRUE,53
src\main\resources\benchmarks\fg_max12.sl,TRUE,70
src\main\resources\benchmarks\fg_max13.sl,TRUE,123
src\main\resources\benchmarks\fg_max14.sl,TRUE,147
src\main\resources\benchmarks\fg_max15.sl,TRUE,232
src\main\resources\benchmarks\fg_max16.sl,TRUE,287
src\main\resources\benchmarks\fg_max17.sl,TRUE,445
src\main\resources\benchmarks\fg_max18.sl,TRUE,610
src\main\resources\benchmarks\fg_max19.sl,TRUE,779
src\main\resources\benchmarks\fg_max2.sl,TRUE,0
src\main\resources\benchmarks\fg_max20.sl,TRUE,1167
src\main\resources\benchmarks\fg_max3.sl,TRUE,2
src\main\resources\benchmarks\fg_max4.sl,TRUE,3
src\main\resources\benchmarks\fg_max5.sl,TRUE,5
src\main\resources\benchmarks\fg_max6.sl,TRUE,7
src\main\resources\benchmarks\fg_max7.sl,TRUE,10
src\main\resources\benchmarks\fg_max8.sl,TRUE,16
src\main\resources\benchmarks\fg_max9.sl,TRUE,22
